"","id","code","team_h","team_h_score","team_a","team_a_score","event","finished","minutes","provisional_start_time","kickoff_time","round","was_home","difficulty","first_name","second_name","web_name","team","element_type","photo","team_name","short_team_name","strength","team_id","opp_team_id","opp_team_name","opp_short_team_name","opp_strength","team_strength","home_team","away_team","opp_team_strength","team_strength_att","opp_team_strength_att","team_strength_def","opp_team_strength_def"
"76","778",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"James","Wright","Wright",2,1,"481283.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"77","793",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Kaine","Kesler-Hayden","Kesler-Hayden",2,2,"465390.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"78","803",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Morgan","Rogers","Rogers",2,3,"244850.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"79","818",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Joe","Gauci","Gauci",2,1,"462492.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"80","854",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Finley","Munroe","Munroe",2,2,"521966.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"81","62",2367912,7,NA,3,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,3,"Jaidon","Anthony","Anthony",3,3,"444180.jpg","Bournemouth","BOU",3,3,7,"Chelsea","CHE",3,1100,"Chelsea","Bournemouth",1125,1130,1080,1075,1170
"82","63",2367912,7,NA,3,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,3,"Philip","Billing","Billing",3,3,"168991.jpg","Bournemouth","BOU",3,3,7,"Chelsea","CHE",3,1100,"Chelsea","Bournemouth",1125,1130,1080,1075,1170
"83","64",2367912,7,NA,3,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,3,"David","Brooks","Brooks",3,3,"111317.jpg","Bournemouth","BOU",3,3,7,"Chelsea","CHE",3,1100,"Chelsea","Bournemouth",1125,1130,1080,1075,1170
"84","65",2367912,7,NA,3,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,3,"Ryan","Christie","Christie",3,3,"158499.jpg","Bournemouth","BOU",3,3,7,"Chelsea","CHE",3,1100,"Chelsea","Bournemouth",1125,1130,1080,1075,1170
"85","66",2367912,7,NA,3,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,3,"Lewis","Cook","L.Cook",3,3,"155408.jpg","Bournemouth","BOU",3,3,7,"Chelsea","CHE",3,1100,"Chelsea","Bournemouth",1125,1130,1080,1075,1170
"86","67",2367912,7,NA,3,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,3,"Siriki","Dembélé","Siriki",3,3,"244085.jpg","Bournemouth","BOU",3,3,7,"Chelsea","CHE",3,1100,"Chelsea","Bournemouth",1125,1130,1080,1075,1170
